#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
IMP3	RRP9	1850884	1843325	9606.ENSP00000326981	9606.ENSP00000232888	0	0	0	0	0	0.931	0.900	0	0.992
IMP3	PWP2	1850884	1847299	9606.ENSP00000326981	9606.ENSP00000291576	0	0	0	0	0	0.931	0.900	0	0.992
RCL1	RRP9	1857428	1843325	9606.ENSP00000371169	9606.ENSP00000232888	0	0	0	0	0	0.862	0.900	0	0.985
TUBA1B	TUBA1A	1851928	1848244	9606.ENSP00000336799	9606.ENSP00000301071	0	0	0	0.991	0	0.774	0.900	0	0.976
TUBB2A	TUBB4B	1857206	1852441	9606.ENSP00000369703	9606.ENSP00000341289	0	0	0	0.989	0	0.774	0.900	0	0.976
TUBA1A	TUBB2B	1848244	1844727	9606.ENSP00000301071	9606.ENSP00000259818	0	0	0	0.917	0	0.740	0.900	0	0.972
TBL3	IMP3	1862919	1850884	9606.ENSP00000454836	9606.ENSP00000326981	0	0	0	0	0	0.717	0.900	0	0.970
WDR36	IMP3	1861582	1850884	9606.ENSP00000423067	9606.ENSP00000326981	0	0	0	0	0	0.717	0.900	0	0.970
IMP3	WDR3	1850884	1849040	9606.ENSP00000326981	9606.ENSP00000308179	0	0	0	0	0	0.717	0.900	0	0.970
BMS1	PWP2	1856134	1847299	9606.ENSP00000363642	9606.ENSP00000291576	0	0	0	0	0	0.717	0.900	0	0.970
BMS1	IMP3	1856134	1850884	9606.ENSP00000363642	9606.ENSP00000326981	0	0	0	0	0	0.717	0.900	0	0.970
WDR3	DCAF13	1849040	1847888	9606.ENSP00000308179	9606.ENSP00000297579	0	0	0	0	0	0.717	0.900	0	0.970
BMS1	WDR3	1856134	1849040	9606.ENSP00000363642	9606.ENSP00000308179	0	0	0	0	0	0.717	0.900	0	0.970
TBL3	BMS1	1862919	1856134	9606.ENSP00000454836	9606.ENSP00000363642	0	0	0	0	0	0.717	0.900	0	0.970
BMS1	DCAF13	1856134	1847888	9606.ENSP00000363642	9606.ENSP00000297579	0	0	0	0	0	0.717	0.900	0	0.970
DCAF13	PWP2	1847888	1847299	9606.ENSP00000297579	9606.ENSP00000291576	0	0	0	0	0	0.717	0.900	0	0.970
IMP3	DCAF13	1850884	1847888	9606.ENSP00000326981	9606.ENSP00000297579	0	0	0	0	0	0.717	0.900	0	0.970
HLA-B	HLA-C	1860141	1856460	9606.ENSP00000399168	9606.ENSP00000365402	0	0	0	0.983	0	0.599	0.900	0	0.958
WDR36	RCL1	1861582	1857428	9606.ENSP00000423067	9606.ENSP00000371169	0	0	0	0	0	0.553	0.900	0	0.953
HLA-A	HLA-C	1856558	1856460	9606.ENSP00000366005	9606.ENSP00000365402	0	0	0	0.983	0	0.417	0.900	0	0.939
RCL1	IMP3	1857428	1850884	9606.ENSP00000371169	9606.ENSP00000326981	0	0	0	0	0	0.292	0.900	0	0.926
HLA-B	HLA-A	1860141	1856558	9606.ENSP00000399168	9606.ENSP00000366005	0	0	0	0.985	0	0.200	0.900	0	0.916
HLA-DPA1	HLA-A	1859729	1856558	9606.ENSP00000393566	9606.ENSP00000366005	0	0	0	0.650	0	0.194	0.900	0	0.916
HLA-C	HLA-G	1856460	1853986	9606.ENSP00000365402	9606.ENSP00000353472	0	0	0	0.982	0	0.181	0.900	0	0.914
HLA-A	HLA-G	1856558	1853986	9606.ENSP00000366005	9606.ENSP00000353472	0	0	0	0.985	0	0.146	0.900	0	0.910
HLA-B	HLA-DPA1	1860141	1859729	9606.ENSP00000399168	9606.ENSP00000393566	0	0	0	0.647	0	0.109	0.900	0	0.907
HLA-DPA1	HLA-C	1859729	1856460	9606.ENSP00000393566	9606.ENSP00000365402	0	0	0	0.648	0	0.109	0.900	0	0.907
HLA-DPA1	HLA-G	1859729	1853986	9606.ENSP00000393566	9606.ENSP00000353472	0	0	0	0	0	0.109	0.900	0	0.907
RCL1	PWP2	1857428	1847299	9606.ENSP00000371169	9606.ENSP00000291576	0	0	0	0	0	0.078	0.900	0	0.903
TUBB4B	TUBB2B	1852441	1844727	9606.ENSP00000341289	9606.ENSP00000259818	0	0	0	0.989	0	0	0.900	0	0.900
RCL1	WDR3	1857428	1849040	9606.ENSP00000371169	9606.ENSP00000308179	0	0	0	0	0	0	0.900	0	0.900
HLA-B	HLA-G	1860141	1853986	9606.ENSP00000399168	9606.ENSP00000353472	0	0	0	0.981	0	0	0.900	0	0.900
TUBB2A	TUBB2B	1857206	1844727	9606.ENSP00000369703	9606.ENSP00000259818	0	0	0	0.991	0	0	0.900	0	0.900
HLA-DPA1	CTSL1	1859729	1852924	9606.ENSP00000393566	9606.ENSP00000345344	0	0	0	0	0	0	0.900	0	0.900
RCL1	DCAF13	1857428	1847888	9606.ENSP00000371169	9606.ENSP00000297579	0	0	0	0	0	0	0.900	0	0.900
B2M	HLA-DPA1	1862817	1859729	9606.ENSP00000452780	9606.ENSP00000393566	0	0	0	0.831	0	0	0.900	0	0.900
TBL3	RCL1	1862919	1857428	9606.ENSP00000454836	9606.ENSP00000371169	0	0	0	0	0	0	0.900	0	0.900
WDR36	THOC7	1861582	1847639	9606.ENSP00000423067	9606.ENSP00000295899	0	0	0	0	0	0.503	0	0	0.503
GAPDH	HSPA8	1843185	1843112	9606.ENSP00000229239	9606.ENSP00000227378	0	0	0	0	0	0.465	0	0	0.465
